Tekmvanje,Država,Tekmovalec
EGMO,Bulgaria,Pavlena Nenova
EGMO,United States,Danielle Wang
EGMO,Romania,Simona Diaconu
EGMO,Italy,Giada Franz
EGMO,Poland,Barbara Mroczek
EGMO,United States,Victoria Xia
EGMO,Türkiye,Berfin Şimşek
EGMO,Ukraine,Yaroslava Serdyuk
EGMO,Türkiye,Sena Nur Arbağ
EGMO,Bulgaria,Kalina Petrova
EGMO,Poland,Anna Siennicka
EGMO,Indonesia,Christa Lorenzia Soesanto
EGMO,Italy,Alice Cortinovis
EGMO,Ukraine,Yuliya Kravchenko
EGMO,Poland,Agata Latacz
EGMO,Romania,Ştefana-Lucia Aniţa
EGMO,Ukraine,Mariia Pavliuk
EGMO,Poland,Anna Olech
EGMO,Romania,Ioana-Maria Tamaş
EGMO,Romania,Andreea Măgălie
EGMO,Ukraine,Olena Kharytonova
EGMO,Hungary,Eszter Kiss
EGMO,Switzerland,Viviane Kehl
EGMO,Türkiye,Gülşah Onur
EGMO,United Kingdom,Natalie Behague
EGMO,Hungary,Emese Anna Tóth
EGMO,Switzerland,Laura Gremion
EGMO,Italy,Angela Veronese
EGMO,Hungary,Melinda Flóra Kiss
EGMO,Finland,Jiali Yan
EGMO,Saudi Arabia,Abrar Alshaikh
EGMO,Serbia,Nevena Nikolic
EGMO,Serbia,Jelena Trisovic
EGMO,United Kingdom,Katya Richards
EGMO,United States,Sarah Herrmann
EGMO,Latvia,Agnese Kerubina
EGMO,Serbia,Marijana Vujadinović
EGMO,United States,Julia Huang
EGMO,Indonesia,Natasha Sutedja
EGMO,Netherlands,Michelle Sweering
EGMO,Italy,Federica Cecchetto
EGMO,Luxembourg,Christina Meyer
EGMO,Bulgaria,Ksenia Tsocheva
EGMO,Finland,Neea Palojärvi
EGMO,Saudi Arabia,Doha Aljeddawi
EGMO,Belgium,Sophie Peng
EGMO,Netherlands,Marieke van der Wegen
EGMO,Ireland,Yunwoo Lee
EGMO,Hungary,Zsuzsanna Bősze
EGMO,Luxembourg,Line Hoeltgen
EGMO,Netherlands,Loes Bazuin
EGMO,Serbia,Annamaria Piri
EGMO,Belgium,Elise Delhez
