Leto,Kraj,Število tekmovalcev,Gostiteljica,Ime,Priimek,Država,Mesto,Medalja,Skupno,Točke
1959,Braşov,52,Romania,Bohuslav,Diviš,Czechoslovakia,1,G,40,"[5, 8, 7, 5, 8, 7]"
1959,Braşov,52,Romania,György,Csanak,Hungary,2,G,37,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Basarab,Nicolescu,Romania,2,G,37,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Gábor,Halász,Hungary,4,S,36,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Cristian,Berthaler,Romania,4,S,36,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Cezar,Gheorghe,Romania,4,S,36,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,György,Muszély,Hungary,7,B,35,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Virgil,Brişcă,Romania,7,B,35,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Béla,Bollobás,Hungary,9,B,34,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Andrei,Tom,Union of Soviet Socialist Republics,9,B,34,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Mihail,Vrăjitoru,Romania,11,B,33,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Viktor,Fedorev,Union of Soviet Socialist Republics,12,HM,32,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Domokos,Szász,Hungary,13,HM,31,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Ivan,Titelnikov,Bulgaria,14,HM,30,"[5, 7, 7, 5, 2, 4]"
1959,Braşov,52,Romania,Valeriy,Frolov,Union of Soviet Socialist Republics,14,HM,30,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Karel,Šmuk,Czechoslovakia,16,HM,29,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Jiří,Moudrý,Czechoslovakia,17,HM,28,"[None, None, None, None, None, None]"
1959,Braşov,52,Romania,Jiří,Votava,Czechoslovakia,17,HM,28,"[None, None, None, None, None, None]"
