Tekmvanje,Država,Tekmovalec
JBMO,Bulgaria,Nguyen Chi Dung
JBMO,Romania,Cerrahoğlu Ömer
JBMO,Romania,Tran Bach Hai
JBMO,Türkiye,Mehmet Efe Akengin
JBMO,Türkiye,Burak Varici
JBMO,Bulgaria,Yordan Dimitrov Yordanov
JBMO,Romania,Gramatovici Stefan Cosmin
JBMO,Romania,Diaconu Simona
JBMO,Romania,Marius Gavrilescu
JBMO,Romania,Nicolaescu Horia
JBMO,Romania,Chirac Cristian
JBMO,Romania,Spătaru Ştefan
JBMO,Bulgaria,Velina Todorova Ivanova
JBMO,Greece,Lolas Panagiotis
JBMO,Türkiye,Hakan Ozen
JBMO,Romania,Fetoiu Cătălin Emil
JBMO,Bulgaria,Pavlena Vesselinova Nenova
JBMO,Serbia,Lazar Mojsilović
JBMO,Serbia,Jelena Trisovic
JBMO,Bulgaria,Victor Plamenov Radivchev
JBMO,Romania,Magalie Andreea
JBMO,Bosnia and Herzegovina,Abdulah Jasarevic
JBMO,Serbia,Dušan Drobnjak
JBMO,Moldova,Cristian Zanoci
JBMO,Romania,Pripoae Silvia
JBMO,Tajikistan,Okilnazarzoda Sadi
JBMO,Kazakhstan,Nurgabylov Yerniyaz
JBMO,Serbia,Bogdana Jelic
JBMO,Romania,Frasineanu Vlad
JBMO,Romania,Anghel Daniel
JBMO,Bulgaria,Georgi Ivanov Pramatarov
JBMO,Romania,Toma Florina
JBMO,Türkiye,Abdullatif Koksal
JBMO,Azerbaijan,Shahin Huseynli
JBMO,Tajikistan,Mukhammad Ehsoni
JBMO,Moldova,Cătălin Rusnac
JBMO,Türkiye,Berfin Şimşek
JBMO,Tajikistan,Muqayumkhonov Musokhon
JBMO,Greece,Mallios Elefterios
JBMO,Serbia,Bojan Roško
JBMO,Indonesia,Fransisca Susan
JBMO,Azerbaijan,Cavid Aliyev
JBMO,Turkmenistan,Serdarov Ashyrmuhammet
JBMO,Cyprus,Rafail Dimitriou
JBMO,Türkiye,Muhammed Zahid Ozturk
JBMO,Kazakhstan,Soul Saken
JBMO,Moldova,Mihaela Curmei
JBMO,Moldova,Nicolae Şapoval
JBMO,North Macedonia,Vasil Kuzevski
JBMO,Romania,Răzvan Vulpe
JBMO,Indonesia,Richard Akira Heru
JBMO,Turkmenistan,Agamyradov Palvan
JBMO,Bosnia and Herzegovina,Ivona Jurosevic
JBMO,Kazakhstan,Toktaganov Adil
JBMO,Romania,Neacsu Vlad
JBMO,North Macedonia,Leart Taravari
JBMO,Romania,Florin Lungu
JBMO,Serbia,Ivan Tanasijević
JBMO,Romania,Lucian Lazăr
JBMO,Tajikistan,Bakhtiyori Kudratzoda
JBMO,Turkmenistan,Hojamammedov Kerven
JBMO,Kazakhstan,Ilyassov Saken
JBMO,Kazakhstan,Seilov Temirlan
JBMO,North Macedonia,Bojan Serafimov
JBMO,Romania,Cosmin Poşircă
JBMO,Romania,Alexandru Ungureanu
JBMO,Greece,Konstantinidou Irini
JBMO,Cyprus,Efthyvoulos Sokratous
JBMO,Bosnia and Herzegovina,Haris Brkić
JBMO,Moldova,Victor Oprea
JBMO,Montenegro,Milica Dašić
JBMO,Montenegro,Luka Pavlovic
JBMO,Greece,Sfakianakis Konstantinos
JBMO,Montenegro,Andrija Mrvosevic
JBMO,Bosnia and Herzegovina,Marko Palangetić
JBMO,Cyprus,Paraskevi Mylona
JBMO,Kazakhstan,Sharipov Kuanysh
JBMO,Cyprus,Panayiotis Panayiotou
JBMO,Moldova,Ion Cărăruş
JBMO,Indonesia,Kevin Pratama Rusli
JBMO,North Macedonia,Jovan Krajevski
JBMO,Montenegro,Mladen Dobrasinovic
JBMO,Bosnia and Herzegovina,Milan Kuzmanovic
JBMO,Cyprus,Marios Kelepeshis
JBMO,Cyprus,Andreas Stavrou
JBMO,North Macedonia,Marko Markoski
JBMO,Indonesia,Stanley Orlando
JBMO,Bosnia and Herzegovina,Anja Svraka
JBMO,Greece,Psaromiligkos Konstantinos
JBMO,North Macedonia,Andrej Patoski
JBMO,Greece,Karagiaouris Georgios
JBMO,Montenegro,Sandra Vujicic
JBMO,Montenegro,Iva Kasalica
JBMO,Romania,Ioan-Laurenţiu Ploscaru
JBMO,Türkiye,Halil İbrahim Güllük
JBMO,Türkiye,Fatih Kaleoğlu
JBMO,Türkiye,Ahmet Abdullah Keleş
JBMO,Türkiye,Emre Girgin
JBMO,Türkiye,Emre Kiziltug
JBMO,Romania,Andrei Andronache Teodor
JBMO,Kazakhstan,Abdrakhmanov Alen
JBMO,Albania,Gledis Kallço
JBMO,Romania,Vintu Ioan-Vladimir
JBMO,Indonesia,Jonathan Mulyawan
JBMO,Romania,Darauta Raluca
JBMO,Azerbaijan,Aliyev Izmir
JBMO,Bulgaria,Ganev Bozhidar Krasimirov
JBMO,Kazakhstan,Bisserik Almas
JBMO,Romania,Ovidiu-Neculai Avădănei
JBMO,Romania,Stoienescu Paul Ioan
JBMO,Tajikistan,Abdulvosit Ismailov
JBMO,Kazakhstan,Dargulov Amir
JBMO,Serbia,Aleksa Konstantinov
JBMO,Serbia,Luka Vukelić
JBMO,Turkmenistan,Perman Iljanov
JBMO,Türkiye,Serdar Ada
JBMO,Serbia,Nikola Samardzic
JBMO,Tajikistan,Farrukh Karimov
JBMO,Kazakhstan,Altynkhanov Kuandyk
JBMO,Bulgaria,Markova Denitsa Hristova
JBMO,Azerbaijan,Abdullayev Mustafa
JBMO,North Macedonia,Vasilev Vasil
JBMO,Azerbaijan,Verdiyev Farid
JBMO,Turkmenistan,Alshir Soyunjov
JBMO,Greece,Chachamis Nestor
JBMO,Greece,Apostolos Panagiotopoulos
JBMO,Indonesia,Tjandra Nicholas Susanto
JBMO,Kazakhstan,Aubekerov Daniyar
JBMO,Montenegro,Ilija Gracanin
JBMO,Albania,Liana Shpani
JBMO,Cyprus,Stelios Stylianou
JBMO,Greece,Ntounis Petros
JBMO,Serbia,Aleksandar Milosevic
JBMO,Serbia,Kristina Siladji
JBMO,Tajikistan,Zarmekhri Zarifi
JBMO,Moldova,Țarigradschi Mihail
JBMO,Tajikistan,Mahmudov Dilovar
JBMO,Turkmenistan,Dovran Nurgeldiyev
JBMO,Bosnia and Herzegovina,Din Bostandzic
JBMO,Bulgaria,Atanasov Daniel Raykov
JBMO,North Macedonia,Ilievski Andrej
JBMO,Bosnia and Herzegovina,Milica Babić
JBMO,Greece,Filippas Spyridon
JBMO,Greece,Tsangalidou Zoi
JBMO,Indonesia,Albert Lucianto
JBMO,Greece,Fyseki Anna Maria
JBMO,Serbia,Stanislav Todorovic
JBMO,Bulgaria,Nezabravkov Cherganski Aleksander
JBMO,Montenegro,Andjela Markovic
JBMO,Moldova,Hornet Vladlena
JBMO,Moldova,Vizitiv Gleb
JBMO,Tajikistan,Davlatshohi Abdujalil
JBMO,Moldova,Mamaliga Catalina
JBMO,Moldova,Dolgopol Romina
JBMO,Bulgaria,Ngo Ngoc Cuong
JBMO,North Macedonia,Markoski Marko
JBMO,Albania,Starja Bora
JBMO,Azerbaijan,Ismayilov Elsavar
JBMO,Azerbaijan,Maharramov Mehdi
JBMO,Azerbaijan,Abdullayev Ibrahim
JBMO,Tajikistan,Sobirdzhoni Bobizoda
